C C
C1C[NH2+]ON1 C1NO[NH2+][CH2:1]1
C1C[NH2+]ON1 C1[NH2+]ON[CH2:1]1
C1C[NH2+]ON1 N1O[NH2+][CH2:1][CH2:1]1
C1C[SH+]CCN1 C1C[SH+]C[CH2:1]N1
C1C[SH+]CCN1 C1C[SH+][CH2:1]CN1
C1C[SH+]CCN1 C1C[SH+][CH2:1][CH2:1]N1
C1NCNCN1 C1NCN[CH2:1]N1
C1NCNCN1 C1NC[NH:1]CN1
C1NNCS1 C1NN[CH2:1]S1
C1OCOCO1 C1OCO[CH2:1]O1
C=C C=[CH2:1]
C=N C=[NH:1]
C=N N=[CH2:1]
C=O C=[O:1]
C=O O=[CH2:1]
C=S C=[S:1]
C=S S=[CH2:1]
C=[NH2+] C=[NH2+:1]
C=[NH2+] [NH2+]=[CH2:1]
CBr Br[CH3:1]
CBr C[Br:1]
CC C[CH3:1]
CCl C[Cl:1]
CCl Cl[CH3:1]
CF C[F:1]
CF F[CH3:1]
CI C[I:1]
CI I[CH3:1]
CN C[NH2:1]
CN N[CH3:1]
CO C[OH:1]
CO O[CH3:1]
CP P[CH3:1]
CS C[SH:1]
CS S[CH3:1]
C[NH3+] C[NH3+:1]
C[NH3+] [NH3+][CH3:1]
N N
N#[NH+] [NH+]#[N:1]
N=N N=[NH:1]
N=O N=[O:1]
N=O O=[NH:1]
N=P P=[NH:1]
N=[NH2+] N=[NH2+:1]
N=[NH2+] [NH2+]=[NH:1]
NBr Br[NH2:1]
NCl Cl[NH2:1]
NN N[NH2:1]
NO N[OH:1]
NO O[NH2:1]
NP N[PH2:1]
NP P[NH2:1]
NS N[SH:1]
NS S[NH2:1]
N[NH3+] [NH3+][NH2:1]
O=P O=[PH:1]
O=P P=[O:1]
O=S O=[S:1]
O=S S=[O:1]
OO O[OH:1]
OP O[PH2:1]
OP P[OH:1]
OS O[SH:1]
OS S[OH:1]
P P
P=S P=[S:1]
P=S S=[PH:1]
PS P[SH:1]
PS S[PH2:1]
S S
SS S[SH:1]
[CH-]1NCCC[NH2+]1 [CH-]1NC[CH2:1]C[NH2+]1
[CH-]1NCCC[NH2+]1 [CH-]1N[CH2:1]CC[NH2+]1
[CH-]1NCCC[NH2+]1 [CH-]1N[CH2:1][CH2:1]C[NH2+]1
[N-]=[NH2+] [N-]=[NH2+:1]
[N-]=[NH2+] [NH2+]=[N-:1]
[NH2+]=O O=[NH2+:1]
[NH2+]=O [NH2+]=[O:1]
[NH3+]O O[NH3+:1]
[NH3+]O [NH3+][OH:1]
[NH3+][O-] [NH3+][O-:1]
[NH3+][O-] [O-][NH3+:1]
[NH4+] [NH4+]
